id,first_name,last_name,gender,email,address,city,postal_code,age
51,Bryon,Mcgirt,female,bryonmcgirt@cox.net,94 Kuntotie,<core.structure.OSM.City.City object at 0x7f79f928c048>,38600,60
52,Ryan,Cameron,male,cameron@gmail.com,736 Nisukatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,12
53,Crystal,Woodard,male,woodard@verizon.net,247 Kurjenkaivonkenttä,<core.structure.OSM.City.City object at 0x7f79f928c080>,20520,38
54,Gustavo,Peralta,male,gustavoperalta@verizon.net,900 Kurjenkaivonkenttä,<core.structure.OSM.City.City object at 0x7f79f928c080>,20520,36
55,Alexander,Norton,male,alexander.norton@yahoo.com,668 Jarrumiehenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20100,50
56,Avis,Wilkerson,female,avis@verizon.net,899 Nisukatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,58
57,Kitty,Espada,female,k_espada@verizon.net,705 Jarrumiehenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20100,2
58,Blake,Whitehat,male,b_whitehat@verizon.net,839 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,53
59,Emile,Saephanh,male,e.saephanh@msn.com,644 Ohrakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,23
60,Denny,Yung,male,yung@comcast.net,621 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,23
61,Danny,Cunningham,male,d.cunningham@gmail.com,664 Kellonsoittajankatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,46
62,Vernon,Spencer,male,spencer@gmail.com,826 Pellavakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,76
63,Brandy,Raines,female,raines@aol.com,589 Ohrakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,6
64,Juanita,Carranza,female,j.carranza@comcast.net,662 Kellonsoittajankatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,82
65,Luz,Bradshaw,female,luzbradshaw@yahoo.com,62 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,5
66,Taylor,Galloway,male,tgalloway@cox.net,872 Murskekuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,5
67,Ramon,Austin,male,ramon_austin@gmail.com,169 Nupukuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,6
68,Concepcion,Zavaleta,female,zavaleta@comcast.net,170 Sepelikuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,13
69,Kristen,Morse,male,kristen@gmail.com,618 Sepelikuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,45
70,Eleanor,Leung,female,eleanor.leung@yahoo.com,369 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,52
71,Lacy,Purnell,female,lacypurnell@cox.net,333 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,0
72,Abel,Small,male,a_small@aol.com,637 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,5
73,Deana,Powell,male,deanapowell@msn.com,545 Kaurakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,47
74,Latasha,Littlejohn,female,latasha_littlejohn@cox.net,108 Nupukuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,22
75,Alexis,Mccaskill,male,a_mccaskill@yahoo.com,733 Kurjenkaivonkenttä,<core.structure.OSM.City.City object at 0x7f79f928c080>,20520,16
76,Isidro,Lapointe,male,i_lapointe@yahoo.com,93 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,43
77,Don,Dominquez,male,d_dominquez@yahoo.com,561 Nisukatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,17
78,Maggie,Sutherland,female,maggie_sutherland@verizon.net,526 Kellonsoittajankatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,13
79,Lyle,Jeffers,male,lyle.jeffers@comcast.net,427 Murskekuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,38
80,Erin,Bentley,male,erin_bentley@comcast.net,610 Jarrumiehenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20100,7
81,Gerry,Arnold,male,gerry_arnold@aol.com,460 Murskekuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,6
82,Hiram,Lange,female,hiram.lange@verizon.net,424 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,18
83,Jamar,Mestas,male,jamar@msn.com,792 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,5
84,Marvin,Hau,male,marvin_hau@aol.com,394 Jarrumiehenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20100,11
85,Diego,Kane,male,diego_kane@gmail.com,806 Jarrumiehenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20100,3
86,Guadalupe,Zhan,female,guadalupe.zhan@msn.com,546 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,23
87,Carolina,Rushing,female,crushing@comcast.net,528 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,60
88,Burton,Flute,male,burton_flute@gmail.com,330 Sepelikuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,10
89,Michael,Prom,male,m.prom@aol.com,702 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,52
90,Elwood,Ewing,male,elwood.ewing@cox.net,607 Nupukuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,25
91,Alphonse,Liew,male,aliew@msn.com,494 Sepelikuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,17
92,Alvaro,Beck,male,a_beck@hotmail.com,452 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,22
93,Esteban,Stjohn,male,estebanstjohn@msn.com,319 Kaurakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,56
94,Allan,Palencia,male,palencia@verizon.net,668 Hovioikeudenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,5
95,Elma,Prince,female,e.prince@hotmail.com,274 Pellavakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,36
96,Mariano,Walter,male,mariano.walter@verizon.net,363 Hovioikeudenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,32
97,Alberto,Zimmerman,male,a_zimmerman@aol.com,716 Kaurakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,58
98,Wilson,Cash,female,wcash@comcast.net,222 Kaurakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,40
99,Aldo,Friend,male,a_friend@msn.com,618 Pellavakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,68
100,Young,Childers,female,childers@aol.com,620 Nisukatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,63
101,Quincy,Estrada,male,qestrada@hotmail.com,15 Pellavakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,7
102,Abraham,Valera,female,abraham_valera@msn.com,380 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,55
103,Marcelino,Agudelo,male,marcelino_agudelo@msn.com,782 Kellonsoittajankatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,88
104,Dewey,Adame,female,dewey_adame@gmail.com,234 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,52
105,Emerson,Thrower,male,emerson_thrower@hotmail.com,230 Hovioikeudenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,15
106,Brigitte,Wilhelm,male,b.wilhelm@gmail.com,497 Jarrumiehenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20100,15
107,Michele,Abbott,male,micheleabbott@aol.com,692 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,8
108,Carmela,Coleman,female,coleman@hotmail.com,354 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,32
109,Harris,Pei,male,harris.pei@aol.com,283 Kurjenkaivonkenttä,<core.structure.OSM.City.City object at 0x7f79f928c080>,20520,35
110,Riley,Myrick,male,myrick@msn.com,149 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,0
111,Kathleen,Carrizales,female,kathleen_carrizales@msn.com,157 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,53
112,Connie,Joy,female,cjoy@msn.com,4 Ohrakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,3
113,Charmaine,Qin,male,qin@gmail.com,562 Kaurakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,18
114,Collin,Fournier,male,collin.fournier@hotmail.com,689 Nisukatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,17
115,Basil,Sepulvado,male,basilsepulvado@cox.net,963 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,42
116,Evangeline,Hager,female,e_hager@cox.net,691 Sepelikuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,33
117,Emmanuel,Mathis,male,emmanuelmathis@hotmail.com,464 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,31
118,Juliet,Bostic,female,juliet@cox.net,300 Kellonsoittajankatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,25
119,Brooke,Rader,male,brookerader@verizon.net,842 Kellonsoittajankatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,15
120,Delmar,Flood,female,delmarflood@verizon.net,37 Jarrumiehenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20100,13
121,Bethany,Victoria,female,bethany.victoria@cox.net,661 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,30
122,Terrence,Hearn,male,terrence@comcast.net,142 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,45
123,Cara,Dawson,male,dawson@yahoo.com,176 Kellonsoittajankatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,18
124,Nora,Thomason,female,nora_thomason@gmail.com,398 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,38
125,Hazel,Coulter,female,hazel@msn.com,809 Hovioikeudenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,20
126,Marcie,Asher,female,m.asher@gmail.com,713 Hovioikeudenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,31
127,Mervin,Rumph,male,mervin@msn.com,127 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,30
128,Clara,Frausto,female,clara@verizon.net,571 Nupukuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,43
129,Hershel,Celis,female,h.celis@verizon.net,218 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,28
130,Byron,Fields,male,fields@yahoo.com,487 Pellavakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,18
131,Robby,Cleveland,male,robby_cleveland@gmail.com,342 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,45
132,Marion,Chuang,male,mchuang@aol.com,710 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,47
133,Cliff,Bellanger,female,cbellanger@hotmail.com,951 Jarrumiehenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20100,36
134,Beth,Yadav,male,yadav@verizon.net,601 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,33
135,Daisy,Akiyama,female,daisy_akiyama@hotmail.com,594 Jarrumiehenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20100,10
136,Armand,Samra,male,a_samra@gmail.com,945 Sepelikuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,28
137,Alexandria,Vo,female,alexandriavo@msn.com,738 Hovioikeudenkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,33
138,Kirby,Salvador,male,kirby_salvador@comcast.net,737 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,6
139,Lacey,Yee,female,l.yee@aol.com,976 Kurjenkaivonkenttä,<core.structure.OSM.City.City object at 0x7f79f928c080>,20520,11
140,Edwardo,Dean,female,edean@comcast.net,666 Ohrakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,12
141,Lorraine,Mcclain,female,l_mcclain@aol.com,672 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,20
142,Buford,Vega,male,buford.vega@msn.com,28 Kurjenkaivonkenttä,<core.structure.OSM.City.City object at 0x7f79f928c080>,20520,20
143,Bettie,Tahir,female,tahir@gmail.com,362 Nisukatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,81
144,Hilda,Braxton,female,braxton@comcast.net,636 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,31
145,Leopoldo,Louis,male,llouis@hotmail.com,514 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,40
146,Marylou,Arispe,female,m.arispe@msn.com,3 Murskekuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,35
147,Seth,Thunder,female,seth_thunder@msn.com,764 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,28
148,Britney,Guidry,male,b.guidry@msn.com,266 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,41
149,Marc,Wilkinson,male,marc.wilkinson@verizon.net,208 Kellonsoittajankatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,15
150,Maude,Stiffarm,female,maudestiffarm@cox.net,573 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,7
151,Sheena,Licon,female,sheena@verizon.net,301 Kellonsoittajankatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,0
152,Dianna,Deloatch,male,deloatch@verizon.net,715 Kellonsoittajankatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,51
153,Casey,Choi,female,cchoi@gmail.com,597 Pellavakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,31
154,Vince,Post,male,vince@yahoo.com,90 Kellonsoittajankatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20500,77
155,Isidro,Higgins,male,isidro.higgins@cox.net,652 Ohrakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,18
156,Carlos,Bolin,female,c_bolin@cox.net,779 Nisukatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,12
157,Owen,Goyal,male,goyal@gmail.com,559 Ruiskatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20720,11
158,Conrad,Randolph,female,c_randolph@gmail.com,65 Nupukuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,0
159,Mitzi,Knox,female,mitzi@yahoo.com,543 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,17
160,Leonor,Garrow,female,leonor_garrow@verizon.net,273 Sepelikuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,55
161,Melisa,Suazo,female,melisa@yahoo.com,917 Pellavakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,48
162,Mauricio,Shipman,male,m.shipman@aol.com,466 Pellavakatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,12
163,Warren,Warren,male,warren.warren@msn.com,856 Murskekuja,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,62
164,Shannon,Monterroso,male,monterroso@msn.com,591 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,32
165,Cruz,Montijo,female,cruz.montijo@yahoo.com,622 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,37
166,Jason,Encinas,male,encinas@cox.net,103 Vähärasinkatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20540,37
167,Stuart,Cox,male,stuartcox@verizon.net,187 Nisukatu,<core.structure.OSM.City.City object at 0x7f79f928c080>,20740,57
168,Bruce,Suazo,female,suazo@cox.net,904 Ollilantie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90650,16
169,Reinaldo,Okamura,male,reinaldo.okamura@aol.com,363 Kauppaseurantie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90029,31
170,Noreen,Myers,female,myers@verizon.net,101 Pihlajakuja,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90650,15
171,Malinda,Kay,female,malinda@aol.com,220 Paljetie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90250,5
172,Cole,Barragan,female,cbarragan@yahoo.com,272 Pikku-Leskeläntie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90230,18
173,Emery,Madrigal,female,e.madrigal@aol.com,829 Pellikantie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90220,36
174,Tommy,Newcomb,female,t.newcomb@msn.com,208 Sauvonsuontie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90250,7
175,Erick,Dowdell,male,e.dowdell@msn.com,842 Parkkirinteentie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90250,22
176,Luella,Sison,female,l.sison@yahoo.com,231 Takojantie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90029,47
177,Willie,Roper,female,w.roper@hotmail.com,99 Konserttipiha,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90230,81
178,Lucio,Oyama,female,oyama@hotmail.com,565 Pekurintie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90230,43
179,Vilma,Mcneal,male,vilma_mcneal@verizon.net,545 Kanavatie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90230,36
180,Frank,Monroy,female,monroy@verizon.net,557 Tahtipiha,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90650,26
181,Millie,Greene,female,milliegreene@comcast.net,411 Lapinrauniontie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90250,5
182,Mervin,Roth,male,mroth@msn.com,921 Hakokuja,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90650,25
183,Kellie,Napier,female,kellienapier@yahoo.com,945 Hietakuja,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90220,8
184,Wyatt,Giron,male,wyatt.giron@comcast.net,515 Seluskansaarentie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90029,0
185,Krista,Duncan,female,k.duncan@gmail.com,831 Junttapolku,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90650,1
186,Jayne,Kerr,female,j.kerr@msn.com,531 Väliahontie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90650,17
187,Diego,Guevara,male,diegoguevara@msn.com,8 Kuikkatie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90029,8
188,Phyllis,Sato,female,phyllissato@aol.com,601 Parrastie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90650,38
189,Mai,Anzaldua,female,manzaldua@comcast.net,915 Saratie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90220,16
190,Ashley,Gross,female,ashleygross@gmail.com,355 Haarantie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90029,13
191,Estela,Galvez,female,estela@aol.com,243 Käpykuja,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90220,42
192,Petra,Redeagle,female,petraredeagle@hotmail.com,841 Kanavatie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90230,1
193,Andrew,Nelson,male,andrew.nelson@cox.net,938 Hillarinne,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90230,60
194,Katherine,Andrew,female,katherineandrew@cox.net,725 Haapalantie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90250,27
195,Bobbie,Fatima,female,bobbie_fatima@verizon.net,890 Raatintie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90650,43
196,Cleo,Courtney,male,cleo@msn.com,73 Joukonrinne,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90220,30
197,Glen,Lang,male,g_lang@comcast.net,227 Rakkakiventie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90220,15
198,Leanna,Gourd,female,leannagourd@hotmail.com,273 Mäkikuusentie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90650,35
199,Evangelina,Ni,male,ni@comcast.net,857 Liikasentie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90250,15
200,Sam,Bowen,male,bowen@aol.com,977 Rivitie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90029,11
201,Joe,Allison,female,joe_allison@gmail.com,974 Airotie,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90650,2
202,Jarvis,Kyles,male,jarviskyles@yahoo.com,794 Jalaskuja,<core.structure.OSM.City.City object at 0x7f79f928c0b8>,90250,0
